,1,16,Avian influenza is an infectious disease of birds caused by type A strains of the influenza virus .
0,3,6,The most common audits were about waste and recycling .
1,1,4,The company fabricates plastic chairs .
2,2,8,The school master teaches the lesson with a stick .
3,5,9,The suspect dumped the dead body into a local reservoir .
4,1,5,The ear of the African elephant is significantly larger -- measuring 183 cm by 114 cm in the bush elephant .
5,5,11,A child is told a lie for several years by their parents before he/she realizes that a Santa Claus does not exist .
6,8,12,"Skype , a free software , allows a hookup of multiple computer users to join in an online conference call without incurring any telephone costs ."
7,12,16,The disgusting scene was retaliation against her brother Philip who rents the room inside this apartment house on Lombard street .
8,1,4,This thesis defines the clinical characteristics of amyloid disease .
9,3,7,Ten million quake survivors moved into makeshift houses .
10,11,12,"On a friend 's advice , I purchased a sauerkraut and kimchi maker here and it is just fabulous ( and cheap too ) ."
11,4,6,NASA Kepler mission sends names into space .
12,2,3,"As a landscape company in Atlanta , we know which plants thrive in this planting zone and know the optimum landscaping designs for local yards and business ."
13,15,20,"As I was contemplating if I had a favorite in the pink category , a gift arrived from a sweet friend ."
14,9,14,The male took over the entire care of the young that had left the nest .
15,2,6,The famous actress arrived at the airport .
16,16,19,An FTP server is an inexpensive and relatively simple to operate tool that works great for filesharing over the internet .
17,6,9,"Beneath this invocation there is a zoo of fearsome beasts , including several man-eaters , as well as sphinxes with lions ' bodies and human heads ."
18,1,8,The song was composed for a famous Brazilian musician .
19,1,4,"This outline focuses on spirituality , esotericism , mysticism , religion and/or parapsychology ."
20,1,5,The bomb was in a suitcase loaded in Frankfurt and transferred to the doomed Boeing 747 in London .
21,7,8,I spent a year working for a software company to pay off my college loans .
22,1,4,The captain and the crew of the Steve Irwin are grateful for the support of the City of Fremantle and Mayor Brad Pettitt for hosting the event .
23,1,2,Organic sesame oil has an anti-bacterial and anti imflammatory effect .
24,8,9,Mileson has sold his humble abode to a housing developer .
25,2,7,"The same effect is achieved the traditional way , with a team of workers like Keebler elves ."
26,8,17,"He has built a formidable reputation writing powerful dramas for the stage and screen , based on real events or socially vital issues ."
27,2,10,He produces drawings and videos that have been shown in museums in Europe and America .
28,10,13,"Therefore , nowadays China is the complex mixture of different cultures from various epochs ."
29,9,16,"Of the hundreds of strains of avian influenza A viruses , only four have caused human infections : H5N1 , H7N3 , H7N7 , and H9N2 ."
30,4,8,Many of his literary pieces narrate and mention stories that took place in Lipa .
31,9,12,"When I 'm walking alone , I count the steps of the stairs , and I also guess approximately how many steps are left till I reach the next street ."
32,3,13,"Essentially , the blisters that appear in the mouth are caused by the herpes simplex virus type 1 , HSV-1 for short ."
33,8,11,"The man at the helm was watching the luff of the sail and whistling away gently to himself , and that was the only sound excepting the swish of the sea ."
34,4,12,"Still further , the circuit comprises a digital adder and an analog-to-digital converter with an analog input connected to the output of the operational amplifier and a digital output connected to a first input of the digital adder ."
35,8,11,"Dolf Oehler , a leader in the leftist camp of Heine champions since the 1970s , gathered a group of likeminded critics for this symposium ."
36,1,9,"The cartridge was marked as empty , even with ink in both chambers ."
37,1,4,A pod of sperm whales was beached on Italy 's southern coast and at least five died in what experts said was a rare and puzzling mass beaching for such a large species .
38,0,8,Roundworms or ascarids are caused by an intestinal parasite called Toxocara canis .
39,1,11,The subject of `` imply '' is the source of an implication while the subject of `` infer '' is the recipient of an implication .
40,1,7,My cat has a problem with his paw .
41,1,6,The treaty establishes a double majority rule for Council decisions .
42,4,7,The accident has spread oil into the ocean .
43,4,10,A tidal wave of talent has emanated from this lush village .
44,1,8,These coins are enclosed in a clear hard plastic case with a blue background that is packaged in a blue box .
45,3,7,"By dividing the space in a kitchen drawer where you keep all your cooking utensils , you grouped items by size or purpose ."
46,5,12,"Then , the target PET bottle was put inside of a metal container , which was grounded ."
47,0,5,News programs commented on the violence from the game and expressed worries on how it would affect the players ' personalities .
48,1,4,The narrative comprises the interplay of two themes that are woven together as it criss-crosses back and forth between the life of nineteen year old Greg Kowalski 's desire to become a firefighter and his heart-rending life growing up in Saginaw Michigan where he had to endure the physical and verbal abuse handed out by his appalling father .
49,9,12,"As Vinay collapsed in pain , the villagers poured acid into his eyes ."
50,1,7,The room was filled with huge Jack-the-Dripper canvases .
51,1,3,The gulp of magpies just left after a quick breakfast of peanuts and cookie crumbs .
52,11,14,"The proposal was debated and enthusiastically endorsed in 2002 by a convocation of international scholars that included many prominent academics , among them scientists of the stature of the late H. Curien , H. Varmus , P. Crutzen and J. Sachs ."
53,21,26,"In South Africa , which has one of the best police to public ratios on the continent , the share of murders that result in a conviction is about 18 % , compared to 56 % in the US and 61 % in the UK ."
54,3,8,A group of monkeys who escaped from an enclosure at Edinburgh Zoo are one step from being caught .
55,4,7,People now post their opinions to this blog .
56,1,9,Traffic vibrations on the street outside had caused the movement of the light .
57,15,16,Poodles of all types were the ideal circus dogs when not dyed pink and wearing diamond colliers in Via Veneto or Maxim 's .
58,2,3,A digital door lock is an electronic lock for residential applications such as front doors on apartments and single-family houses .
59,0,2,Red grape wine is an alcoholic fruit drink of between 10 and 14 % alcoholic strength .
60,6,10,"The text also exists in a transcript by a professional scribe , which was prepared for Sir Dudley Carleton ."
61,1,9,A witch is able to change events by using magic .
62,1,8,The committee is an integral part of our organisation .
63,4,7,I have inserted a clock into the presentations .
64,1,9,The family constructed some TCU Horned Frog supporting snow features as well as just a really nice picture of an old fashioned light post .
65,2,12,One simple method for clearing small clogs is to use a tried-and-true combination of baking soda and vinegar .
66,2,8,"The complete statue , topped by an imposing head , was originally nearly five metres high ."
67,2,8,"In the article , the authors explore the use of technology in small pharmacy chains ."
68,2,6,The following comments are provided by readers and are the sole responsiblity of the authors .
69,16,19,The Organic Act of 1868 made several specific references to the powers and duties of the president of the university after stating that he be elected to office by the Board of Regents .
